Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id,Count_Number,Transfers,id,Total_Votes
1377,,,CARDOWNIE,Steve,4,Scottish National Party (SNP),41,1,0,0,1377
2230,Elected,1,DAY,Cammy,4,Labour Party,42,1,0,1,2230
976,,,GORDON,George,4,Scottish National Party (SNP),43,1,0,2,976
117,,,HENDERSON,Ruth Ann,4,Scottish Anti-Cuts Coalition,44,1,0,3,117
1833,Elected,1,JACKSON,Allan George,4,Conservative and Unionist Party,45,1,0,4,1833
573,,,JOESTER,Kate,4,Scottish Green Party,46,1,0,5,573
57,,,MACMHICEAN,Seumas Stiubhard,4,Liberal Party in Scotland,47,1,0,6,57
524,,,REDPATH,Vicki,4,Labour Party,48,1,0,7,524
410,,,WIGHT,Tim,4,Liberal Democrats,49,1,0,8,410
1377,,,CARDOWNIE,Steve,4,Scottish National Party (SNP),41,2,30.36294,,1407.36294
2230,Elected,1,DAY,Cammy,4,Labour Party,42,2,-610,,1620
976,,,GORDON,George,4,Scottish National Party (SNP),43,2,32.27772,,1008.27772
117,,,HENDERSON,Ruth Ann,4,Scottish Anti-Cuts Coalition,44,2,10.39452,,127.39452
1833,Elected,1,JACKSON,Allan George,4,Conservative and Unionist Party,45,2,0,,1833
573,,,JOESTER,Kate,4,Scottish Green Party,46,2,24.6186,,597.6186
57,,,MACMHICEAN,Seumas Stiubhard,4,Liberal Party in Scotland,47,2,7.38558,,64.38558
524,,,REDPATH,Vicki,4,Labour Party,48,2,437.11692,,961.11692
410,,,WIGHT,Tim,4,Liberal Democrats,49,2,13.12992,,423.12992
1377,,,CARDOWNIE,Steve,4,Scottish National Party (SNP),41,3,14.9898,,1422.35274
2230,Elected,1,DAY,Cammy,4,Labour Party,42,3,0,,1620
976,,,GORDON,George,4,Scottish National Party (SNP),43,3,9.0636,,1017.34132
117,,,HENDERSON,Ruth Ann,4,Scottish Anti-Cuts Coalition,44,3,2.4402,,129.83472
1833,Elected,1,JACKSON,Allan George,4,Conservative and Unionist Party,45,3,-213,,1620
573,,,JOESTER,Kate,4,Scottish Green Party,46,3,28.3528,,625.9714
57,Excluded,3,MACMHICEAN,Seumas Stiubhard,4,Liberal Party in Scotland,47,3,8.715,,73.10058
524,,,REDPATH,Vicki,4,Labour Party,48,3,14.525,,975.64192
410,,,WIGHT,Tim,4,Liberal Democrats,49,3,50.4308,,473.56072
1377,,,CARDOWNIE,Steve,4,Scottish National Party (SNP),41,4,9.2324,,1431.58514
2230,Elected,1,DAY,Cammy,4,Labour Party,42,4,0,,1620
976,,,GORDON,George,4,Scottish National Party (SNP),43,4,1.50594,,1018.84726
117,,,HENDERSON,Ruth Ann,4,Scottish Anti-Cuts Coalition,44,4,2.62214,,132.45686
1833,Elected,1,JACKSON,Allan George,4,Conservative and Unionist Party,45,4,0,,1620
573,,,JOESTER,Kate,4,Scottish Green Party,46,4,10.73834,,636.70974
57,Excluded,3,MACMHICEAN,Seumas Stiubhard,4,Liberal Party in Scotland,47,4,-73.10058,,0
524,,,REDPATH,Vicki,4,Labour Party,48,4,11.5488,,987.19072
410,,,WIGHT,Tim,4,Liberal Democrats,49,4,21.70824,,495.26896
1377,,,CARDOWNIE,Steve,4,Scottish National Party (SNP),41,5,11.32656,,1442.9117
2230,Elected,1,DAY,Cammy,4,Labour Party,42,5,0,,1620
976,,,GORDON,George,4,Scottish National Party (SNP),43,5,15.77948,,1034.62674
117,Excluded,4,HENDERSON,Ruth Ann,4,Scottish Anti-Cuts Coalition,44,5,-132.45686,,0
1833,Elected,1,JACKSON,Allan George,4,Conservative and Unionist Party,45,5,0,,1620
