Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id,Count_Number,Transfers,id,Total_Votes
5275,,,Allen,Andy,2,Ulster Unionist Party,8116,1,0.00,0,5275.00
275,,,Bodel,Sheila,2,NI Conservatives,19719,1,0.00,1,275.00
6007,,,Bunting,Joanne,2,Democratic Unionist Party,13032,1,0.00,2,6007.00
4431,,,Douglas,David,2,Democratic Unionist Party,19687,1,0.00,3,4431.00
250,,,de Faoite,Séamas,2,Social Democratic and Labour Party,19745,1,0.00,4,250.00
917,,,Girvin,Andrew,2,Traditional Unionist Voice,13035,1,0.00,5,917.00
2658,,,Kyle,John,2,Progressive Unionist Party,13037,1,0.00,6,2658.00
7610,Elected,1,Long,Naomi,2,Alliance Party,2454,1,0.00,7,7610.00
5059,,,Lyttle,Chris,2,Alliance Party,13038,1,0.00,8,5059.00
84,,,McKeag,Jordy,2,Independent,19746,1,0.00,9,84.00
1447,,,Milne,Georgina,2,Green Party,19699,1,0.00,10,1447.00
4729,,,Newton,Robin,2,Democratic Unionist Party,13040,1,0.00,11,4729.00
1173,,,O'Donnell,Máiréad,2,Sinn Fein,19680,1,0.00,12,1173.00
442,,,Robinson,Courtney,2,Cross-Community Labour Alternative,13041,1,0.00,13,442.00
5275,,,Allen,Andy,2,Ulster Unionist Party,8116,2,38.17,14,5313.17
275,,,Bodel,Sheila,2,NI Conservatives,19719,2,1.32,15,276.32
6007,,,Bunting,Joanne,2,Democratic Unionist Party,13032,2,9.02,16,6016.02
4431,,,Douglas,David,2,Democratic Unionist Party,19687,2,4.18,17,4435.18
250,,,de Faoite,Séamas,2,Social Democratic and Labour Party,19745,2,10.45,18,260.45
917,,,Girvin,Andrew,2,Traditional Unionist Voice,13035,2,1.65,19,918.65
2658,,,Kyle,John,2,Progressive Unionist Party,13037,2,15.29,20,2673.29
7610,Elected,1,Long,Naomi,2,Alliance Party,2454,2,-883.00,21,6727.00
5059,,,Lyttle,Chris,2,Alliance Party,13038,2,701.03,22,5760.03
84,Excluded,2,McKeag,Jordy,2,Independent,19746,2,1.43,23,85.43
1447,,,Milne,Georgina,2,Green Party,19699,2,27.06,24,1474.06
4729,,,Newton,Robin,2,Democratic Unionist Party,13040,2,5.50,25,4734.50
1173,,,O'Donnell,Máiréad,2,Sinn Fein,19680,2,10.34,26,1183.34
442,,,Robinson,Courtney,2,Cross-Community Labour Alternative,13041,2,7.48,27,449.48
5275,,,Allen,Andy,2,Ulster Unionist Party,8116,3,10.22,28,5323.39
275,,,Bodel,Sheila,2,NI Conservatives,19719,3,2.11,29,278.43
6007,,,Bunting,Joanne,2,Democratic Unionist Party,13032,3,5.00,30,6021.02
4431,,,Douglas,David,2,Democratic Unionist Party,19687,3,1.00,31,4436.18
250,Excluded,3,de Faoite,Séamas,2,Social Democratic and Labour Party,19745,3,0.11,32,260.56
917,,,Girvin,Andrew,2,Traditional Unionist Voice,13035,3,2.00,33,920.65
2658,,,Kyle,John,2,Progressive Unionist Party,13037,3,5.22,34,2678.51
7610,Elected,1,Long,Naomi,2,Alliance Party,2454,3,0.00,35,6727.00
