Council name,Contest Name,First Name,Surname,Party Description,
Aberdeen City Council,Dyce/Bucksburn/Danestone Ward,Barney,CROCKETT,"Aberdeen Labour, making it happen",
Aberdeen City Council,Dyce/Bucksburn/Danestone Ward,Coral,DUTHIE,Independent,
Aberdeen City Council,Dyce/Bucksburn/Danestone Ward,Graeme Stephen,LAWRENCE,"Aberdeen Labour, making it happen",
Aberdeen City Council,Dyce/Bucksburn/Danestone Ward,Neil,MACGREGOR,Scottish National Party (SNP),
Aberdeen City Council,Dyce/Bucksburn/Danestone Ward,Avril,MACKENZIE,Scottish Conservative and Unionist,
Aberdeen City Council,Dyce/Bucksburn/Danestone Ward,Dorothy,PEARCE,Scottish Liberal Democrats,
Aberdeen City Council,Dyce/Bucksburn/Danestone Ward,Gill,SAMARAI,Scottish National Party (SNP),
Aberdeen City Council,Bridge of Don Ward,Alison,ALPHONSE,Scottish National Party (SNP),
Aberdeen City Council,Bridge of Don Ward,Karen,FARQUHAR,Scottish Liberal Democrats,
Aberdeen City Council,Bridge of Don Ward,Brett,HUNT,Scottish Conservative and Unionist,
Aberdeen City Council,Bridge of Don Ward,James Edmund Rodgerson,IRVING-LEWIS,Solidarity - Scotland's Socialist Movement,
Aberdeen City Council,Bridge of Don Ward,Simon,MCLEAN,Independent,
Aberdeen City Council,Bridge of Don Ward,John Michael,REYNOLDS,Independent,
Aberdeen City Council,Bridge of Don Ward,George,SAUNDERS,Independent,
Aberdeen City Council,Bridge of Don Ward,Sandy,STUART,Scottish National Party (SNP),
Aberdeen City Council,Bridge of Don Ward,Willie,YOUNG,"Aberdeen Labour, making it happen",
Aberdeen City Council,Kingswells/Sheddocksley/Summerhill Ward,David John,CAMERON,Scottish National Party (SNP),
Aberdeen City Council,Kingswells/Sheddocksley/Summerhill Ward,Philip Frederick,CLARKE,UKIP,
Aberdeen City Council,Kingswells/Sheddocksley/Summerhill Ward,Steve,DELANEY,Scottish Liberal Democrat Focus Team,
Aberdeen City Council,Kingswells/Sheddocksley/Summerhill Ward,Josh,MENNIE,Scottish National Party (SNP),
Aberdeen City Council,Kingswells/Sheddocksley/Summerhill Ward,Barry,MITCHELL,"Aberdeen Labour, making it happen",
Aberdeen City Council,Kingswells/Sheddocksley/Summerhill Ward,Pippa,ROBERTSON,Scottish Green Party,
Aberdeen City Council,Kingswells/Sheddocksley/Summerhill Ward,John,WHEELER,Scottish Conservative and Unionist,
Aberdeen City Council,Northfield/Mastrick North Ward,Jackie,DUNBAR,Scottish National Party (SNP),
Aberdeen City Council,Northfield/Mastrick North Ward,Sam,FORMAN,Scottish Liberal Democrats,
Aberdeen City Council,Northfield/Mastrick North Ward,Frank,GILFEATHER,"Aberdeen Labour, making it happen",
Aberdeen City Council,Northfield/Mastrick North Ward,Gordon,GRAHAM,"Aberdeen Labour, making it happen",
Aberdeen City Council,Northfield/Mastrick North Ward,Alan,MARTIN,Scottish Conservative and Unionist,
Aberdeen City Council,Northfield/Mastrick North Ward,CiarÃ¡n,MCRAE,Scottish National Party (SNP),
Aberdeen City Council,Northfield/Mastrick North Ward,Jessica,MENNIE,Scottish National Party (SNP),
Aberdeen City Council,Northfield/Mastrick North Ward,Faith Jason,ROBERTSON-FOY,Independent,
Aberdeen City Council,Hilton/Woodside/Stockethill Ward,Neil Cameron,COPLAND,Scottish National Party (SNP),
Aberdeen City Council,Hilton/Woodside/Stockethill Ward,Lesley,DUNBAR,"Aberdeen Labour, making it happen",
Aberdeen City Council,Hilton/Woodside/Stockethill Ward,David Page,HENDERSON,Independent,
Aberdeen City Council,Hilton/Woodside/Stockethill Ward,Freddie,JOHN,Scottish Conservative and Unionist,
Aberdeen City Council,Hilton/Woodside/Stockethill Ward,Peter,KENNEDY,Scottish Green Party,
