id,name,party_name,council_id,council_name,election,cand_ward_id,map_ward_id,ward_name,contested,elected,status,occurred_on_count,first_prefs,transfers02,total_votes02,transfers03,total_votes03,transfers04,total_votes04,transfers05,total_votes05,transfers06,total_votes06,transfers07,total_votes07,transfers08,total_votes08,transfers09,total_votes09,transfers10,total_votes10,transfers11,total_votes11,transfers12,total_votes12,electorate,total_poll,valid_poll,rejected,quota,seats,candidates
19874,"Douglas Lumsden","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:airyhallbroomhillgarthdee,S13002845,Airyhall/Broomhill/Garthdee,1,1,Elected,1,1533.00000,0.00000,1533.00000,,,,,,,,,,,,,,,,,,,,,11898,6170,6116,54,1530,3,4
21066,"Angela Taylor","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:airyhallbroomhillgarthdee,S13002845,Airyhall/Broomhill/Garthdee,1,0,"Not elected",,708.00000,368.85658,1076.85658,,,,,,,,,,,,,,,,,,,,,11898,6170,6116,54,1530,3,4
21067,"Gordon Scott Townson","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:airyhallbroomhillgarthdee,S13002845,Airyhall/Broomhill/Garthdee,1,1,Elected,2,1417.00000,179.70904,1596.70904,,,,,,,,,,,,,,,,,,,,,11898,6170,6116,54,1530,3,4
21068,"Ian Yuill","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:airyhallbroomhillgarthdee,S13002845,Airyhall/Broomhill/Garthdee,1,1,Elected,1,2458.00000,-928.00000,1530.00000,,,,,,,,,,,,,,,,,,,,,11898,6170,6116,54,1530,3,4
20982,"Alison Alphonse","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:bridge-of-don,S13002836,"Bridge of Don",1,1,Elected,1,1610.00000,0.00000,1610.00000,-162.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,,,,,,,14910,7350,7236,114,1448,4,9
20983,"Karen Farquhar","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:bridge-of-don,S13002836,"Bridge of Don",1,0,Excluded,6,669.00000,113.98881,782.98881,8.25084,791.23965,3.07691,794.31656,9.22477,803.54133,46.69772,850.23905,-850.23905,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,14910,7350,7236,114,1448,4,9
19871,"Brett Hunt","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:bridge-of-don,S13002836,"Bridge of Don",1,1,Elected,1,1868.00000,-420.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,0.00000,1448.00000,,,,,,,14910,7350,7236,114,1448,4,9
8258,"James Edmund Rodgerson Irving-Lewis","Solidarity - Scotland's Socialist Movement",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:bridge-of-don,S13002836,"Bridge of Don",1,0,Excluded,3,28.00000,4.72143,32.72143,2.51550,35.23693,-35.23693,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,14910,7350,7236,114,1448,4,9
20984,"Simon Mclean",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:bridge-of-don,S13002836,"Bridge of Don",1,0,Excluded,4,70.00000,13.26497,83.26497,0.80496,84.06993,7.87573,91.94566,-91.94566,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,14910,7350,7236,114,1448,4,9
20985,"John Michael Reynolds",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:bridge-of-don,S13002836,"Bridge of Don",1,1,Elected,7,1045.00000,87.23404,1132.23404,5.33286,1137.56690,2.55028,1140.11718,39.49636,1179.61354,147.54348,1327.15702,271.80761,1598.96463,-150.96463,1448.00000,0.00000,1448.00000,,,,,,,14910,7350,7236,114,1448,4,9
20986,"George Saunders",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:bridge-of-don,S13002836,"Bridge of Don",1,0,Excluded,5,279.00000,26.75477,305.75477,2.71674,308.47151,9.27821,317.74972,21.14756,338.89728,-338.89728,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,14910,7350,7236,114,1448,4,9
20987,"Sandy Stuart","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:bridge-of-don,S13002836,"Bridge of Don",1,1,Elected,9,862.00000,7.86905,869.86905,126.78120,996.65025,3.72793,1000.37818,9.30186,1009.68004,46.36144,1056.04148,74.69303,1130.73451,27.09682,1157.83133,215.54838,1373.37971,,,,,,,14910,7350,7236,114,1448,4,9
