Council,Ward,Name,Council_no,Seats
local.aberdeen-city.2017-05-04,local.aberdeen-city.airyhallbroomhillgarthdee.2017-05-04,Airyhall/Broomhill/Garthdee,S12000033,3
local.aberdeen-city.2017-05-04,local.aberdeen-city.hiltonwoodsidestockethill.2017-05-04,Hilton/Woodside/Stockethill,S12000033,3
local.aberdeen-city.2017-05-04,local.aberdeen-city.kingswellssheddocksleysummerhill.2017-05-04,Kingswells/Sheddocksley/Summerhill,S12000033,3
local.aberdeen-city.2017-05-04,local.aberdeen-city.lower-deeside.2017-05-04,Lower Deeside,S12000033,3
local.aberdeen-city.2017-05-04,local.aberdeen-city.midstocketrosemount.2017-05-04,Midstocket/Rosemount,S12000033,3
local.aberdeen-city.2017-05-04,local.aberdeen-city.northfieldmastrick-north.2017-05-04,Northfield/Mastrick North,S12000033,3
local.aberdeen-city.2017-05-04,local.aberdeen-city.tillydroneseatonold-aberdeen.2017-05-04,Tillydrone/Seaton/Old Aberdeen,S12000033,3
local.aberdeenshire.2017-05-04,local.aberdeenshire.aboyne-upper-deeside-and-donside.2017-05-04,"Aboyne, Upper Deeside and Donside",S12000034,3
local.aberdeenshire.2017-05-04,local.aberdeenshire.banchory-and-mid-deeside.2017-05-04,Banchory and Mid Deeside,S12000034,3
local.aberdeenshire.2017-05-04,local.aberdeenshire.banff-and-district.2017-05-04,Banff and District,S12000034,3
local.aberdeenshire.2017-05-04,local.aberdeenshire.peterhead-south-and-cruden.2017-05-04,Peterhead South and Cruden,S12000034,3
local.aberdeenshire.2017-05-04,local.aberdeenshire.troup.2017-05-04,Troup,S12000034,3
local.aberdeenshire.2017-05-04,local.aberdeenshire.west-garioch.2017-05-04,West Garioch,S12000034,3
local.angus.2017-05-04,local.angus.arbroath-east-and-lunan.2017-05-04,Arbroath East and Lunan,S12000041,3
local.angus.2017-05-04,local.angus.brechin-and-edzell.2017-05-04,Brechin and Edzell,S12000041,3
local.angus.2017-05-04,local.angus.carnoustie-and-district.2017-05-04,Carnoustie and District,S12000041,3
local.angus.2017-05-04,local.angus.kirriemuir-and-dean.2017-05-04,Kirriemuir and Dean,S12000041,3
local.city-of-edinburgh.2017-05-04,local.city-of-edinburgh.colintonfairmilehead.2017-05-04,Colinton/Fairmilehead,S12000036,3
local.city-of-edinburgh.2017-05-04,local.city-of-edinburgh.corstorphinemurrayfield.2017-05-04,Corstorphine/Murrayfield,S12000036,3
local.city-of-edinburgh.2017-05-04,local.city-of-edinburgh.drum-braegyle.2017-05-04,Drum Brae/Gyle,S12000036,3
local.city-of-edinburgh.2017-05-04,local.city-of-edinburgh.fountainbridgecraiglockhart.2017-05-04,Fountainbridge/Craiglockhart,S12000036,3
local.city-of-edinburgh.2017-05-04,local.city-of-edinburgh.leith.2017-05-04,Leith,S12000036,3
local.clackmannanshire.2017-05-04,local.clackmannanshire.clackmannanshire-central.2017-05-04,Clackmannanshire Central,S12000005,3
local.clackmannanshire.2017-05-04,local.clackmannanshire.clackmannanshire-east.2017-05-04,Clackmannanshire East,S12000005,3
local.dumfries-and-galloway.2017-05-04,local.dumfries-and-galloway.abbey.2017-05-04,Abbey,S12000006,3
local.dumfries-and-galloway.2017-05-04,local.dumfries-and-galloway.annandale-east-and-eskdale.2017-05-04,Annandale East and Eskdale,S12000006,3
local.dumfries-and-galloway.2017-05-04,local.dumfries-and-galloway.castle-douglas-and-crocketford.2017-05-04,Castle Douglas and Crocketford,S12000006,3
local.dumfries-and-galloway.2017-05-04,local.dumfries-and-galloway.dee-and-glenkens.2017-05-04,Dee and Glenkens,S12000006,3
local.dumfries-and-galloway.2017-05-04,local.dumfries-and-galloway.mid-and-upper-nithsdale.2017-05-04,Mid and Upper Nithsdale,S12000006,3
local.east-ayrshire.2017-05-04,local.east-ayrshire.doon-valley.2017-05-04,Doon Valley,S12000008,3
local.east-ayrshire.2017-05-04,local.east-ayrshire.irvine-valley.2017-05-04,Irvine Valley,S12000008,3
local.east-ayrshire.2017-05-04,local.east-ayrshire.kilmarnock-north.2017-05-04,Kilmarnock North,S12000008,3
local.east-ayrshire.2017-05-04,local.east-ayrshire.kilmarnock-south.2017-05-04,Kilmarnock South,S12000008,3
local.east-dunbartonshire.2017-05-04,local.east-dunbartonshire.bearsden-north.2017-05-04,Bearsden North,S12000045,3
local.east-dunbartonshire.2017-05-04,local.east-dunbartonshire.bearsden-south.2017-05-04,Bearsden South,S12000045,3
local.east-dunbartonshire.2017-05-04,local.east-dunbartonshire.bishopbriggs-south.2017-05-04,Bishopbriggs South,S12000045,3
local.east-dunbartonshire.2017-05-04,local.east-dunbartonshire.kirkintilloch-east-and-north-and-twechar.2017-05-04,Kirkintilloch East and North and Twechar,S12000045,3
local.east-dunbartonshire.2017-05-04,local.east-dunbartonshire.lenzie-and-kirkintilloch-south.2017-05-04,Lenzie and Kirkintilloch South,S12000045,3
local.east-dunbartonshire.2017-05-04,local.east-dunbartonshire.milngavie.2017-05-04,Milngavie,S12000045,3
local.east-lothian.2017-05-04,local.east-lothian.dunbar-and-east-linton.2017-05-04,Dunbar and East Linton,S12000010,3
local.east-lothian.2017-05-04,local.east-lothian.north-berwick-coastal.2017-05-04,North Berwick Coastal,S12000010,3
local.east-renfrewshire.2017-05-04,local.east-renfrewshire.giffnock-and-thornliebank.2017-05-04,Giffnock and Thornliebank,S12000011,3
local.east-renfrewshire.2017-05-04,local.east-renfrewshire.newton-means-north-and-neilston.2017-05-04,Newton Mearns North and Neilston,S12000011,3
local.falkirk.2017-05-04,local.falkirk.bonnybridge-and-larbert.2017-05-04,Bonnybridge and Larbert,S12000014,3
local.falkirk.2017-05-04,local.falkirk.falkirk-south.2017-05-04,Falkirk South,S12000014,3
local.falkirk.2017-05-04,local.falkirk.grangemouth.2017-05-04,Grangemouth,S12000014,3
local.falkirk.2017-05-04,local.falkirk.lower-braes.2017-05-04,Lower Braes,S12000014,3
local.falkirk.2017-05-04,local.falkirk.upper-braes.2017-05-04,Upper Braes,S12000014,3
local.fife.2017-05-04,local.fife.burntisland-kinghorn-and-western-kirkcaldy.2017-05-04,"Burntisland, Kinghorn and Western Kirkcaldy",S12000015,3
local.fife.2017-05-04,local.fife.cupar.2017-05-04,Cupar,S12000015,3
local.fife.2017-05-04,local.fife.dunfermline-north.2017-05-04,Dunfermline North,S12000015,3
local.fife.2017-05-04,local.fife.east-neuk-and-landward.2017-05-04,East Neuk and Landward,S12000015,3
local.fife.2017-05-04,local.fife.glenrothes-central-and-thornton.2017-05-04,Glenrothes Central and Thornton,S12000015,3
local.fife.2017-05-04,local.fife.glenrothes-west-and-kinglassie.2017-05-04,Glenrothes West and Kinglassie,S12000015,3
local.fife.2017-05-04,local.fife.howe-of-fife-and-tay-coast.2017-05-04,Howe of Fife and Tay Coast,S12000015,3
local.fife.2017-05-04,local.fife.kirkcaldy-central.2017-05-04,Kirkcaldy Central,S12000015,3
local.fife.2017-05-04,local.fife.kirkcaldy-east.2017-05-04,Kirkcaldy East,S12000015,3
local.fife.2017-05-04,local.fife.kirkcaldy-north.2017-05-04,Kirkcaldy North,S12000015,3
local.fife.2017-05-04,local.fife.rosyth.2017-05-04,Rosyth,S12000015,3
local.fife.2017-05-04,local.fife.tay-bridgehead.2017-05-04,Tay Bridgehead,S12000015,3
local.fife.2017-05-04,local.fife.west-fife-and-coastal-villages.2017-05-04,West Fife and Coastal Villages,S12000015,3
local.glasgow-city.2017-05-04,local.glasgow-city.baillieston.2017-05-04,Baillieston,S12000046,3
local.glasgow-city.2017-05-04,local.glasgow-city.dennistoun.2017-05-04,Dennistoun,S12000046,3
local.glasgow-city.2017-05-04,local.glasgow-city.hillhead.2017-05-04,Hillhead,S12000046,3
local.glasgow-city.2017-05-04,local.glasgow-city.maryhill.2017-05-04,Maryhill,S12000046,3
local.glasgow-city.2017-05-04,local.glasgow-city.newlandsauldburn.2017-05-04,Newlands/Auldburn,S12000046,3
local.glasgow-city.2017-05-04,local.glasgow-city.north-east.2017-05-04,North East,S12000046,3
