council,ward_no,ward_name,map_ward_code,cand_ward_code,Seats
aberdeen-city,11,Airyhall/Broomhill/Garthdee,S13002845,UTW:airyhallbroomhillgarthdee,3
aberdeen-city,2,Bridge of Don,S13002836,UTW:bridge-of-don,4
aberdeen-city,1,Dyce/Bucksburn/Danestone,S13002835,UTW:dycebucksburndanestone,4
aberdeen-city,8,George St/Harbour,S13002842,UTW:george-stharbour,4
aberdeen-city,10,Hazlehead/Queens Cross/Countesswells,S13002844,UTW:hazleheadqueens-crosscountesswells,4
aberdeen-city,5,Hilton/Woodside/Stockethill,S13002839,UTW:hiltonwoodsidestockethill,3
aberdeen-city,13,Kincorth/Nigg/Cove,S13002847,UTW:kincorthniggcove,4
aberdeen-city,3,Kingswells/Sheddocksley/Summerhill,S13002837,UTW:kingswellssheddocksleysummerhill,3
aberdeen-city,9,Lower Deeside,S13002843,UTW:lower-deeside,3
aberdeen-city,7,Midstocket/Rosemount,S13002841,UTW:midstocketrosemount,3
aberdeen-city,4,Northfield/Mastrick North,S13002838,UTW:northfieldmastrick-north,3
aberdeen-city,6,Tillydrone/Seaton/Old Aberdeen,S13002840,UTW:tillydroneseatonold-aberdeen,3
aberdeen-city,12,Torry/Ferryhill,S13002846,UTW:torryferryhill,4
aberdeenshire,15,"Aboyne, Upper Deeside and Donside",S13002862,UTW:aboyne-upper-deeside-and-donside,3
aberdeenshire,16,Banchory and Mid Deeside,S13002863,UTW:banchory-and-mid-deeside,3
aberdeenshire,1,Banff and District,S13002848,UTW:banff-and-district,3
aberdeenshire,4,Central Buchan,S13002851,UTW:central-buchan,4
aberdeenshire,12,East Garioch,S13002859,UTW:east-garioch,4
aberdeenshire,9,Ellon and District,S13002856,UTW:ellon-and-district,4
aberdeenshire,3,Fraserburgh and District,S13002850,UTW:fraserburgh-and-district,4
aberdeenshire,14,"Huntly, Strathbogie and Howe of Alford",S13002861,UTW:huntly-strathbogie-and-howe-of-alford,4
aberdeenshire,11,Inverurie and District,S13002858,UTW:inverurie-and-district,4
aberdeenshire,19,Mearns,S13002866,UTW:mearns,4
aberdeenshire,8,Mid Formartine,S13002855,UTW:mid-formartine,4
aberdeenshire,17,North Kincardine,S13002864,UTW:north-kincardine,4
aberdeenshire,5,Peterhead North and Rattray,S13002852,UTW:peterhead-north-and-rattray,4
aberdeenshire,6,Peterhead South and Cruden,S13002853,UTW:peterhead-south-and-cruden,3
aberdeenshire,18,Stonehaven and Lower Deeside,S13002865,UTW:stonehaven-and-lower-deeside,4
aberdeenshire,2,Troup,S13002849,UTW:troup,3
aberdeenshire,7,Turriff and District,S13002854,UTW:turriff-and-district,4
aberdeenshire,10,West Garioch,S13002857,UTW:west-garioch,3
aberdeenshire,13,Westhill and District,S13002860,UTW:westhill-and-district,4
angus,7,Arbroath East and Lunan,S13002873,UTW:arbroath-east-and-lunan,3
angus,6,"Arbroath West, Letham and Friockheim",S13002872,UTW:arbroath-west-letham-and-friockheim,4
angus,2,Brechin and Edzell,S13002868,UTW:brechin-and-edzell,3
angus,5,Carnoustie and District,S13002871,UTW:carnoustie-and-district,3
angus,3,Forfar and District,S13002869,UTW:forfar-and-district,4
angus,1,Kirriemuir and Dean,S13002867,UTW:kirriemuir-and-dean,3
