post_id,post_label,election
UTW:airyhallbroomhillgarthdee,Airyhall/Broomhill/Garthdee,aberdeen-city
UTW:bridge-of-don,"Bridge of Don",aberdeen-city
UTW:dycebucksburndanestone,Dyce/Bucksburn/Danestone,aberdeen-city
UTW:george-stharbour,"George St/Harbour",aberdeen-city
UTW:hazleheadqueens-crosscountesswells,"Hazlehead/Queens Cross/Countesswells",aberdeen-city
UTW:hiltonwoodsidestockethill,Hilton/Woodside/Stockethill,aberdeen-city
UTW:kincorthniggcove,Kincorth/Nigg/Cove,aberdeen-city
UTW:kingswellssheddocksleysummerhill,Kingswells/Sheddocksley/Summerhill,aberdeen-city
UTW:lower-deeside,"Lower Deeside",aberdeen-city
UTW:midstocketrosemount,Midstocket/Rosemount,aberdeen-city
UTW:northfieldmastrick-north,"Northfield/Mastrick North",aberdeen-city
UTW:tillydroneseatonold-aberdeen,"Tillydrone/Seaton/Old Aberdeen",aberdeen-city
UTW:torryferryhill,Torry/Ferryhill,aberdeen-city
UTW:aboyne-upper-deeside-and-donside,"Aboyne, Upper Deeside and Donside",aberdeenshire
UTW:banchory-and-mid-deeside,"Banchory and Mid Deeside",aberdeenshire
UTW:banff-and-district,"Banff and District",aberdeenshire
UTW:central-buchan,"Central Buchan",aberdeenshire
UTW:east-garioch,"East Garioch",aberdeenshire
UTW:ellon-and-district,"Ellon and District",aberdeenshire
UTW:fraserburgh-and-district,"Fraserburgh and District",aberdeenshire
UTW:huntly-strathbogie-and-howe-of-alford,"Huntly, Strathbogie and Howe of Alford",aberdeenshire
UTW:inverurie-and-district,"Inverurie and District",aberdeenshire
UTW:mearns,Mearns,aberdeenshire
UTW:mid-formartine,"Mid Formartine",aberdeenshire
UTW:north-kincardine,"North Kincardine",aberdeenshire
UTW:peterhead-north-and-rattray,"Peterhead North and Rattray",aberdeenshire
UTW:peterhead-south-and-cruden,"Peterhead South and Cruden",aberdeenshire
UTW:stonehaven-and-lower-deeside,"Stonehaven and Lower Deeside",aberdeenshire
UTW:troup,Troup,aberdeenshire
UTW:turriff-and-district,"Turriff and District",aberdeenshire
UTW:west-garioch,"West Garioch",aberdeenshire
UTW:westhill-and-district,"Westhill and District",aberdeenshire
UTW:arbroath-east-and-lunan,"Arbroath East and Lunan",angus
UTW:arbroath-west-letham-and-friockheim,"Arbroath West, Letham and Friockheim",angus
UTW:brechin-and-edzell,"Brechin and Edzell",angus
UTW:carnoustie-and-district,"Carnoustie and District",angus
UTW:forfar-and-district,"Forfar and District",angus
UTW:kirriemuir-and-dean,"Kirriemuir and Dean",angus
UTW:monifieth-and-sidlaw,"Monifieth and Sidlaw",angus
UTW:montrose-and-district,"Montrose and District",angus
UTW:S13002521,Cowal,argyll-and-bute
UTW:S13002522,Dunoon,argyll-and-bute
UTW:S13002525,"Helensburgh Central",argyll-and-bute
UTW:S13002526,"Helensburgh and Lomond South",argyll-and-bute
UTW:S13002523,"Isle of Bute",argyll-and-bute
UTW:S13002517,"Kintyre and the Islands",argyll-and-bute
UTW:S13002524,"Lomond North",argyll-and-bute
UTW:S13002518,"Mid Argyll",argyll-and-bute
UTW:S13002520,"Oban North and Lorn",argyll-and-bute
UTW:S13002519,"Oban South and the Isles",argyll-and-bute
UTW:S13002516,"South Kintyre",argyll-and-bute
UTW:almond,Almond,city-of-edinburgh
UTW:city-centre,"City Centre",city-of-edinburgh
UTW:colintonfairmilehead,Colinton/Fairmilehead,city-of-edinburgh
UTW:corstorphinemurrayfield,Corstorphine/Murrayfield,city-of-edinburgh
UTW:craigentinnyduddingston,Craigentinny/Duddingston,city-of-edinburgh
UTW:drum-braegyle,"Drum Brae/Gyle",city-of-edinburgh
UTW:forth,Forth,city-of-edinburgh
UTW:fountainbridgecraiglockhart,Fountainbridge/Craiglockhart,city-of-edinburgh
UTW:inverleith,Inverleith,city-of-edinburgh
UTW:leith,Leith,city-of-edinburgh
UTW:leith-walk,"Leith Walk",city-of-edinburgh
UTW:libertongilmerton,Liberton/Gilmerton,city-of-edinburgh
UTW:morningside,Morningside,city-of-edinburgh
UTW:pentland-hills,"Pentland Hills",city-of-edinburgh
UTW:portobellocraigmillar,Portobello/Craigmillar,city-of-edinburgh
UTW:sighthillgorgie,Sighthill/Gorgie,city-of-edinburgh
UTW:southsidenewington,Southside/Newington,city-of-edinburgh
UTW:clackmannanshire-central,"Clackmannanshire Central",clackmannanshire
UTW:clackmannanshire-east,"Clackmannanshire East",clackmannanshire
UTW:clackmannanshire-north,"Clackmannanshire North",clackmannanshire
UTW:clackmannanshire-south,"Clackmannanshire South",clackmannanshire
UTW:clackmannanshire-west,"Clackmannanshire West",clackmannanshire
UTW:abbey,Abbey,dumfries-and-galloway
UTW:annandale-east-and-eskdale,"Annandale East and Eskdale",dumfries-and-galloway
UTW:annandale-north,"Annandale North",dumfries-and-galloway
UTW:annandale-south,"Annandale South",dumfries-and-galloway
UTW:castle-douglas-and-crocketford,"Castle Douglas and Crocketford",dumfries-and-galloway
UTW:dee-and-glenkens,"Dee and Glenkens",dumfries-and-galloway
UTW:lochar,Lochar,dumfries-and-galloway
UTW:mid-galloway-and-wigtown-west,"Mid Galloway and Wigtown West",dumfries-and-galloway
UTW:mid-and-upper-nithsdale,"Mid and Upper Nithsdale",dumfries-and-galloway
UTW:nith,Nith,dumfries-and-galloway
UTW:north-west-dumfries,"North West Dumfries",dumfries-and-galloway
UTW:stranraer-and-the-rhins,"Stranraer and the Rhins",dumfries-and-galloway
UTW:S13002548,Coldside,dundee-city
UTW:S13002551,"East End",dundee-city
UTW:S13002546,Lochee,dundee-city
UTW:S13002549,Maryfield,dundee-city
UTW:S13002830,"North East",dundee-city
UTW:S13002545,Strathmartine,dundee-city
UTW:S13002552,"The Ferry",dundee-city
UTW:S13002547,"West End",dundee-city
UTW:annick,Annick,east-ayrshire
UTW:ballochmyle,Ballochmyle,east-ayrshire
UTW:cumnock-and-new-cumnock,"Cumnock and New Cumnock",east-ayrshire
UTW:doon-valley,"Doon Valley",east-ayrshire
UTW:irvine-valley,"Irvine Valley",east-ayrshire
UTW:kilmarnock-east-and-hurlford,"Kilmarnock East and Hurlford",east-ayrshire
UTW:kilmarnock-north,"Kilmarnock North",east-ayrshire
UTW:kilmarnock-south,"Kilmarnock South",east-ayrshire
UTW:kilmarnock-west-and-crosshouse,"Kilmarnock West and Crosshouse",east-ayrshire
UTW:bearsden-north,"Bearsden North",east-dunbartonshire
UTW:bearsden-south,"Bearsden South",east-dunbartonshire
UTW:bishopbriggs-north-and-campsie,"Bishopbriggs North and Campsie",east-dunbartonshire
UTW:bishopbriggs-south,"Bishopbriggs South",east-dunbartonshire
UTW:kirkintilloch-east-and-north-and-twechar,"Kirkintilloch East and North and Twechar",east-dunbartonshire
UTW:lenzie-and-kirkintilloch-south,"Lenzie and Kirkintilloch South",east-dunbartonshire
UTW:milngavie,Milngavie,east-dunbartonshire
UTW:dunbar-and-east-linton,"Dunbar and East Linton",east-lothian
UTW:haddington-and-lammermuir,"Haddington and Lammermuir",east-lothian
UTW:musselburgh,Musselburgh,east-lothian
