id,name,honorific_prefix,honorific_suffix,gender,birth_date,election,party_id,party_name,post_id,post_label,mapit_url,elected,email,twitter_username,facebook_page_url,party_ppc_page_url,facebook_personal_url,homepage_url,wikipedia_url,linkedin_url,image_url,proxy_image_url_template,image_copyright,image_uploading_user,image_uploading_user_notes,twitter_user_id,election_date,election_current,party_lists_in_use,party_list_position,old_person_ids,gss_code,parlparse_id,theyworkforyou_url,party_ec_id,favourite_biscuits
21781,Phil Fairlie,,,,,local.clackmannanshire.2017-05-04,party:102,Scottish National Party (SNP),UTW:clackmannanshire-central,Clackmannanshire Central,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
20511,John Short,,,male,,local.clackmannanshire.2017-05-04,party:130,Scottish Green Party,UTW:clackmannanshire-central,Clackmannanshire Central,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP130,
20486,Derek Stewart,,,male,,local.clackmannanshire.2017-05-04,party:53,Labour Party,UTW:clackmannanshire-central,Clackmannanshire Central,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
21782,Mike Watson,,,,,local.clackmannanshire.2017-05-04,party:52,Conservative and Unionist Party,UTW:clackmannanshire-central,Clackmannanshire Central,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP52,
20487,Graham Watt,,,male,,local.clackmannanshire.2017-05-04,party:53,Labour Party,UTW:clackmannanshire-central,Clackmannanshire Central,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
21783,Jo Wilkinson,,,,,local.clackmannanshire.2017-05-04,party:102,Scottish National Party (SNP),UTW:clackmannanshire-central,Clackmannanshire Central,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
21784,Anne Anderson,,,,,local.clackmannanshire.2017-05-04,party:90,Liberal Democrats,UTW:clackmannanshire-east,Clackmannanshire East,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP90,
21785,Graham Lindsay,,,,,local.clackmannanshire.2017-05-04,party:102,Scottish National Party (SNP),UTW:clackmannanshire-east,Clackmannanshire East,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
20490,Kathleen Martin,,,female,,local.clackmannanshire.2017-05-04,party:53,Labour Party,UTW:clackmannanshire-east,Clackmannanshire East,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
20493,Bill Mason,,,male,,local.clackmannanshire.2017-05-04,party:52,Conservative and Unionist Party,UTW:clackmannanshire-east,Clackmannanshire East,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP52,
21786,Jane McTaggart,,,,,local.clackmannanshire.2017-05-04,party:102,Scottish National Party (SNP),UTW:clackmannanshire-east,Clackmannanshire East,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
20512,Marion Robertson,,,female,,local.clackmannanshire.2017-05-04,party:130,Scottish Green Party,UTW:clackmannanshire-east,Clackmannanshire East,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP130,
21791,Donald Balsillie,,,,,local.clackmannanshire.2017-05-04,party:102,Scottish National Party (SNP),UTW:clackmannanshire-north,Clackmannanshire North,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
20491,Martha Benny,,,female,,local.clackmannanshire.2017-05-04,party:52,Conservative and Unionist Party,UTW:clackmannanshire-north,Clackmannanshire North,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP52,
20484,Dave Clark,,,male,,local.clackmannanshire.2017-05-04,party:53,Labour Party,UTW:clackmannanshire-north,Clackmannanshire North,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
21792,Archie Drummond,,,,,local.clackmannanshire.2017-05-04,party:102,Scottish National Party (SNP),UTW:clackmannanshire-north,Clackmannanshire North,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
20510,Jack Gervaise,,,male,,local.clackmannanshire.2017-05-04,party:130,Scottish Green Party,UTW:clackmannanshire-north,Clackmannanshire North,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP130,
21793,Helen Lewis,,,,,local.clackmannanshire.2017-05-04,party:102,Scottish National Party (SNP),UTW:clackmannanshire-north,Clackmannanshire North,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
20485,Bobby McGill,,,male,,local.clackmannanshire.2017-05-04,party:53,Labour Party,UTW:clackmannanshire-north,Clackmannanshire North,,,,,,http://www.scottishlabour.org.uk/people/entry/robert-mcgill,,,,,https://candidates.democracyclub.org.uk/media/images/images/20485.png,,profile-photo,sjorford,http://www.scottishlabour.org.uk/people/entry/robert-mcgill,,2017-05-04,False,False,,,,,,PP53,
21794,Damian Sherwood-Johnson,,,,,local.clackmannanshire.2017-05-04,party:90,Liberal Democrats,UTW:clackmannanshire-north,Clackmannanshire North,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP90,
21800,John Shier Biggam,,,,,local.clackmannanshire.2017-05-04,party:90,Liberal Democrats,UTW:clackmannanshire-south,Clackmannanshire South,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP90,
21801,Chris Dixon,,,,,local.clackmannanshire.2017-05-04,party:52,Conservative and Unionist Party,UTW:clackmannanshire-south,Clackmannanshire South,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP52,
20488,Kenneth Earle,,,male,,local.clackmannanshire.2017-05-04,party:53,Labour Party,UTW:clackmannanshire-south,Clackmannanshire South,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
21802,Ellen Forson,,,,,local.clackmannanshire.2017-05-04,party:102,Scottish National Party (SNP),UTW:clackmannanshire-south,Clackmannanshire South,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
21803,Craig Holden,,,,,local.clackmannanshire.2017-05-04,party:102,Scottish National Party (SNP),UTW:clackmannanshire-south,Clackmannanshire South,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
14772,Bryan Quinn,,,male,,local.clackmannanshire.2017-05-04,party:130,Scottish Green Party,UTW:clackmannanshire-south,Clackmannanshire South,,,,bryanquinn86,,,,,,,https://candidates.democracyclub.org.uk/media/images/images/14772.png,,profile-photo,,Auto imported from Twitter,2887981216,2017-05-04,False,False,,,,,,PP130,
