id,name,honorific_prefix,honorific_suffix,gender,birth_date,election,party_id,party_name,post_id,post_label,mapit_url,elected,email,twitter_username,facebook_page_url,party_ppc_page_url,facebook_personal_url,homepage_url,wikipedia_url,linkedin_url,image_url,proxy_image_url_template,image_copyright,image_uploading_user,image_uploading_user_notes,twitter_user_id,election_date,election_current,party_lists_in_use,party_list_position,gss_code,parlparse_id,theyworkforyou_url,party_ec_id
21807,Michael Clift,,,,,local.the-scottish-borders.2017-05-04,ynmp-party:2,Independent,UTW:S13002767,East Berwickshire,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
21808,Eddy Coulson,,,,,local.the-scottish-borders.2017-05-04,party:53,Labour Party,UTW:S13002767,East Berwickshire,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP53
20103,Kate Duncan,,,,,local.the-scottish-borders.2017-05-04,party:130,Scottish Green Party,UTW:S13002767,East Berwickshire,,,,,,https://scottishbordersgreens.org/local-council-election-candidates-2017/kate-duncan-for-east-bewickshire/,,,,,https://candidates.democracyclub.org.uk/media/images/images/20103.png,,profile-photo,BordersGreens,I am a committe member of Borders Greens and responsible for media. https://scottishbordersgreens.org/local-council-election-candidates-2017/kate-duncan-for-east-bewickshire/,,2017-05-04,True,False,,,,,PP130
20075,Jim Fullarton,,,,,local.the-scottish-borders.2017-05-04,party:52,Conservative and Unionist Party,UTW:S13002767,East Berwickshire,,,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP52
21809,Carol Hamilton,,,,,local.the-scottish-borders.2017-05-04,party:52,Conservative and Unionist Party,UTW:S13002767,East Berwickshire,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP52
21810,Helen Laing,,,,,local.the-scottish-borders.2017-05-04,party:102,Scottish National Party (SNP),UTW:S13002767,East Berwickshire,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
21811,Danny Robertson,,,,,local.the-scottish-borders.2017-05-04,party:90,Liberal Democrats,UTW:S13002767,East Berwickshire,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP90
21730,Sandy Aitchison,,,,,local.the-scottish-borders.2017-05-04,ynmp-party:2,Independent,UTW:S13002763,Galashiels and District,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
21731,Andy Anderson,,,,,local.the-scottish-borders.2017-05-04,party:102,Scottish National Party (SNP),UTW:S13002763,Galashiels and District,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
21732,Caledonia Bhatia,,,,,local.the-scottish-borders.2017-05-04,party:90,Liberal Democrats,UTW:S13002763,Galashiels and District,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP90
19829,Euan Jardine,,,male,,local.the-scottish-borders.2017-05-04,party:52,Conservative and Unionist Party,UTW:S13002763,Galashiels and District,,,,VoteJardine,https://www.facebook.com/VoteEuanJardine/,https://www.scottishbordersconservatives.org.uk/people/euan-jardine,,,,https://www.linkedin.com/in/euan-jardine-09184966,,,,,,801465012078411776,2017-05-04,True,False,,,,,PP52
21733,John Mitchell,,,,,local.the-scottish-borders.2017-05-04,party:102,Scottish National Party (SNP),UTW:S13002763,Galashiels and District,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
21734,Harry Scott,,,,,local.the-scottish-borders.2017-05-04,ynmp-party:2,Independent,UTW:S13002763,Galashiels and District,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
21735,David Sharp,,,,,local.the-scottish-borders.2017-05-04,party:53,Labour Party,UTW:S13002763,Galashiels and District,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP53
21736,Bill White,,,,,local.the-scottish-borders.2017-05-04,ynmp-party:2,Independent,UTW:S13002763,Galashiels and District,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
