id,name,honorific_prefix,honorific_suffix,gender,birth_date,election,party_id,party_name,post_id,post_label,mapit_url,elected,email,twitter_username,facebook_page_url,party_ppc_page_url,facebook_personal_url,homepage_url,wikipedia_url,linkedin_url,image_url,proxy_image_url_template,image_copyright,image_uploading_user,image_uploading_user_notes,twitter_user_id,election_date,election_current,party_lists_in_use,party_list_position,gss_code,parlparse_id,theyworkforyou_url,party_ec_id
22387,Gordon Cowie,,,,,local.moray.2017-05-04,ynmp-party:2,Independent,UTW:buckie,Buckie,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
22388,Tim Eagle,,,,,local.moray.2017-05-04,party:52,Conservative and Unionist Party,UTW:buckie,Buckie,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP52
22389,Gordon McDonald,,,,,local.moray.2017-05-04,party:102,Scottish National Party (SNP),UTW:buckie,Buckie,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
22390,Sonya Warren,,,,,local.moray.2017-05-04,party:102,Scottish National Party (SNP),UTW:buckie,Buckie,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
22401,Billy Adams,,,,,local.moray.2017-05-04,ynmp-party:2,Independent,UTW:elgin-city-north,Elgin City North,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
19752,Frank Brown,,,male,,local.moray.2017-05-04,party:52,Conservative and Unionist Party,UTW:elgin-city-north,Elgin City North,,,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP52
22402,Sandy Cooper,,,,,local.moray.2017-05-04,ynmp-party:2,Independent,UTW:elgin-city-north,Elgin City North,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
22403,Paula Coy,,,,,local.moray.2017-05-04,party:102,Scottish National Party (SNP),UTW:elgin-city-north,Elgin City North,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
22404,Patsy Gowans,,,,,local.moray.2017-05-04,party:102,Scottish National Party (SNP),UTW:elgin-city-north,Elgin City North,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
22405,Nick Taylor,,,,,local.moray.2017-05-04,party:53,Labour Party,UTW:elgin-city-north,Elgin City North,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP53
22406,John Divers,,,,,local.moray.2017-05-04,party:53,Labour Party,UTW:elgin-city-south,Elgin City South,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP53
22407,Graham Leadbitter,,,,,local.moray.2017-05-04,party:102,Scottish National Party (SNP),UTW:elgin-city-south,Elgin City South,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
22408,Sean Malone,,,,,local.moray.2017-05-04,ynmp-party:2,Independent,UTW:elgin-city-south,Elgin City South,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
19756,Ray McLean,,,male,1981,local.moray.2017-05-04,party:52,Conservative and Unionist Party,UTW:elgin-city-south,Elgin City South,,,,,https://www.facebook.com/ray4elgincitysouth/,,,,,,https://candidates.democracyclub.org.uk/media/images/images/19756.png,,profile-photo,ray1314,,,2017-05-04,True,False,,,,,PP52
20762,David Bremner,,,male,,local.moray.2017-05-04,party:102,Scottish National Party (SNP),UTW:fochabers-lhanbryde,Fochabers Lhanbryde,,,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
22391,Donald Cameron,,,,,local.moray.2017-05-04,party:90,Liberal Democrats,UTW:fochabers-lhanbryde,Fochabers Lhanbryde,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP90
22392,Kenneth John Gillespie,,,,,local.moray.2017-05-04,ynmp-party:2,Independent,UTW:fochabers-lhanbryde,Fochabers Lhanbryde,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
22393,Peter Jonathan Horton,,,,,local.moray.2017-05-04,party:90,Liberal Democrats,UTW:fochabers-lhanbryde,Fochabers Lhanbryde,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP90
19757,Marc Macrae,,,male,,local.moray.2017-05-04,party:52,Conservative and Unionist Party,UTW:fochabers-lhanbryde,Fochabers Lhanbryde,,,,Macraezy727,https://www.facebook.com/marc4fochaberslhanbryde/,,,,,,,,,,,738498716588494848,2017-05-04,True,False,,,,,PP52
20763,Shona Morrison,,,female,,local.moray.2017-05-04,party:102,Scottish National Party (SNP),UTW:fochabers-lhanbryde,Fochabers Lhanbryde,,,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
